City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Sokoto,NG,75.43,overcast clouds,13.0609,5.239,Pinnade hotel
628,Fare,PF,80.02,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
629,Puerto Ayacucho,VE,86.88,scattered clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
633,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Prainha
634,Meulaboh,ID,76.44,overcast clouds,4.1363,96.1285,Hotel Meuligou
635,Rurrenabaque,BO,88.66,overcast clouds,-14.4413,-67.5278,Hostal Madidi
641,Luba,GQ,78.69,broken clouds,3.4568,8.5547,Hotel Jones
658,Banfora,BF,79.36,broken clouds,10.6333,-4.7667,Hotel-Calypso
671,Dwarka,IN,76.64,overcast clouds,22.2394,68.9678,The Dwarika Hotel
680,Santa Maria,BR,88.9,few clouds,-29.6842,-53.8069,Hotel Morotin
