City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Paita,PE,-5.0892,-81.1144,72.57,73,94,14.25,overcast clouds
212,Torbay,CA,47.6666,-52.7314,39.58,97,100,27.0,light rain
213,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,83.97,67,86,2.39,overcast clouds
214,Pucallpa,PE,-8.3791,-74.5539,91.44,49,40,5.75,scattered clouds
215,Sayyan,YE,15.1718,44.3244,48.65,49,95,3.44,overcast clouds
216,Praya,CV,14.9215,-23.5087,77.54,65,0,19.57,clear sky
217,Richards Bay,ZA,-28.783,32.0377,74.1,96,91,2.48,overcast clouds
218,Say,NE,13.1007,2.3689,81.16,12,65,7.85,broken clouds
219,Synya,RU,65.3718,58.0387,13.73,91,100,13.71,overcast clouds
220,Iquique,CL,-20.2208,-70.1431,73.44,69,22,7.72,few clouds
221,Sigulda,LV,57.1519,24.8647,8.1,97,97,5.03,overcast clouds
222,Kununurra,AU,-15.7667,128.7333,76.98,88,100,0.0,overcast clouds
223,Faanui,PF,-16.4833,-151.75,80.11,77,99,18.28,overcast clouds
224,Wajima,JP,37.4,136.9,42.13,90,100,17.38,overcast clouds
225,Hermanus,ZA,-34.4187,19.2345,71.8,88,85,15.88,light rain
226,Svetlogorsk,BY,52.6333,29.7333,26.35,92,100,8.72,overcast clouds
227,Aksha,RU,50.2814,113.2867,-4.14,68,100,15.79,overcast clouds
228,Port Lincoln,AU,-34.7333,135.8667,58.28,68,100,14.36,overcast clouds
229,Yar-Sale,RU,66.8333,70.8333,12.25,89,100,18.52,overcast clouds
230,Gamba,GA,-2.65,10.0,76.69,88,50,4.65,light rain
231,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,70,100,2.98,overcast clouds
232,Buala,SB,-8.145,159.5921,81.99,78,87,3.87,light rain
233,Antonina,BR,-25.4286,-48.7119,82.2,70,13,3.85,few clouds
234,Berlevag,NO,70.8578,29.0864,35.55,80,75,21.85,light shower snow
235,Nago,JP,26.5881,127.9761,65.25,85,100,16.2,overcast clouds
236,Muroto,JP,33.2833,134.15,47.52,50,48,7.0,scattered clouds
237,Laguna,US,38.421,-121.4238,56.14,69,0,5.75,clear sky
238,Amalapuram,IN,16.5833,82.0167,72.9,78,100,1.45,overcast clouds
239,Santiago Del Estero,AR,-27.7951,-64.2615,95.85,23,39,11.86,scattered clouds
240,Northam,GB,51.0333,-4.2167,25.25,80,1,4.7,clear sky
241,Honavar,IN,14.2833,74.45,71.06,64,61,6.26,broken clouds
242,Daru,PG,-9.0763,143.2092,77.72,91,99,6.13,overcast clouds
243,Mackenzie,CA,55.2999,-123.1698,17.82,93,100,5.75,overcast clouds
244,Barinas,VE,8.6226,-70.2075,87.31,47,65,9.08,broken clouds
245,Iisalmi,FI,63.5592,27.1907,11.32,95,76,6.64,broken clouds
246,The Valley,AI,18.217,-63.0578,84.06,74,20,11.5,few clouds
247,Tepeaca,MX,18.9667,-97.9,68.25,27,5,11.32,clear sky
248,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,73,53,8.7,broken clouds
249,Georgetown,MY,5.4112,100.3354,79.9,84,20,5.99,few clouds
250,Roald,NO,62.5833,6.1333,35.76,86,40,8.05,scattered clouds
251,Gorontalo,ID,0.5412,123.0595,74.05,96,100,3.69,overcast clouds
252,Chuy,UY,-33.6971,-53.4616,62.85,91,97,11.34,overcast clouds
253,Cherskiy,RU,68.75,161.3,-44.75,100,61,1.34,broken clouds
254,Cervo,ES,43.6702,-7.4101,53.96,80,100,3.29,overcast clouds
255,Vilhena,BR,-12.7406,-60.1458,80.82,65,75,12.66,broken clouds
256,Eten,PE,-6.9081,-79.8642,77.25,61,0,16.11,clear sky
257,Kedgwick,CA,47.6446,-67.3434,25.61,91,90,4.68,overcast clouds
258,Katsuura,JP,35.1333,140.3,46.83,57,27,8.81,scattered clouds
259,Tura,IN,25.5198,90.2201,57.6,68,2,2.08,clear sky
260,Khilok,RU,51.3674,110.4676,-14.44,92,89,7.49,overcast clouds
261,Hofn,IS,64.2539,-15.2082,22.66,57,100,18.52,overcast clouds
262,Saint-Pierre,RE,-21.3393,55.4781,76.68,83,20,0.0,light rain
263,Jijiga,ET,9.35,42.8,60.33,49,8,9.04,clear sky
264,Chilca,PE,-12.5211,-76.7372,71.13,83,82,5.59,broken clouds
265,Jimenez,MX,28.3333,-105.4,60.93,12,1,2.44,clear sky
266,Salalah,OM,17.0151,54.0924,78.89,38,0,13.8,clear sky
267,College,US,64.8569,-147.8028,8.92,81,75,14.97,light snow
268,Rognan,NO,67.0953,15.3878,32.14,93,100,4.16,snow
269,Lianzhou,CN,24.7811,112.3825,51.8,74,83,4.09,broken clouds
270,Ayabaca,PE,-4.6398,-79.7149,56.53,65,100,5.57,overcast clouds
271,Esperance,AU,-33.8667,121.9,58.24,82,23,12.3,few clouds
272,Abashiri,JP,44.0213,144.2697,22.95,65,85,19.15,light snow
273,Zhezkazgan,KZ,47.8043,67.7144,12.16,80,89,8.81,overcast clouds
274,Bria,CF,6.5423,21.9863,74.79,26,16,5.41,few clouds
275,Touros,BR,-5.1989,-35.4608,79.16,73,100,10.56,overcast clouds
276,Scarborough,GB,54.2797,-0.4044,34.66,90,38,3.0,scattered clouds
277,Hami,CN,42.8,93.45,16.57,50,2,4.56,clear sky
278,Meadow Lake,US,34.8014,-106.5436,42.6,37,5,5.26,clear sky
279,Altay,CN,47.8667,88.1167,1.54,53,0,7.23,clear sky
280,Inegol,TR,40.0781,29.5133,54.68,81,100,5.01,overcast clouds
281,Kahului,US,20.8947,-156.47,82.98,65,0,5.75,clear sky
282,Severodvinsk,RU,64.5635,39.8302,23.11,78,99,17.09,overcast clouds
283,Plouzane,FR,48.3833,-4.6167,41.32,75,100,13.8,overcast clouds
284,Patacamaya,BO,-17.2333,-67.9167,59.61,47,100,14.18,overcast clouds
285,Angul,IN,20.85,85.1,65.64,68,5,1.9,clear sky
286,Bardiyah,LY,31.7561,25.0865,68.5,52,1,5.57,clear sky
287,San Patricio,US,28.017,-97.5169,71.69,36,2,6.69,clear sky
288,Uspenka,UA,48.3903,39.1619,33.06,87,100,10.98,light snow
289,Pasighat,IN,28.0667,95.3333,59.29,71,6,3.27,clear sky
290,Miles City,US,46.4083,-105.8406,18.57,73,100,29.93,haze
291,Vanimo,PG,-2.6741,141.3028,77.0,89,96,5.53,overcast clouds
292,Borogontsy,RU,62.6683,131.1683,-59.04,100,83,1.99,broken clouds
293,Sabzevar,IR,36.2126,57.6819,49.62,40,100,4.52,overcast clouds
294,Pisco,PE,-13.7,-76.2167,77.05,69,0,8.05,clear sky
295,Sisimiut,GL,66.9395,-53.6735,26.13,95,100,15.19,snow
296,Severo-Kurilsk,RU,50.6789,156.125,24.73,75,81,12.59,light snow
297,Nelson Bay,AU,-32.7167,152.15,59.11,80,96,11.99,overcast clouds
298,Olinda,BR,-8.0089,-34.8553,82.13,65,40,8.05,scattered clouds
299,Ekhabi,RU,53.5102,142.9671,0.77,90,100,32.61,overcast clouds
300,Vestmannaeyjar,IS,63.4427,-20.2734,26.56,80,100,8.25,light snow
301,Darlowo,PL,54.421,16.4107,24.84,89,47,9.4,scattered clouds
302,Chokurdakh,RU,70.6333,147.9167,-40.61,100,63,1.79,broken clouds
303,Sumoto,JP,34.35,134.9,48.24,64,31,18.23,scattered clouds
304,Matagami,CA,49.7502,-77.6328,28.51,93,100,12.66,overcast clouds
305,Kosonsoy,UZ,41.2561,71.5508,27.16,63,52,6.42,broken clouds
306,Inowroclaw,PL,52.7989,18.2639,24.12,93,7,5.39,clear sky
307,Vieques,PR,18.425,-65.8329,81.09,74,40,13.8,scattered clouds
308,Castro,BR,-24.7911,-50.0119,70.63,70,3,4.76,clear sky
309,Iwanai,JP,42.9744,140.5089,21.09,75,100,22.06,light snow
310,Voineasa,RO,44.2833,24.1333,34.38,100,100,3.44,fog
311,Coahuayana,MX,18.7333,-103.6833,83.44,52,11,7.27,few clouds
312,Ust-Kuyga,RU,70.0167,135.6,-51.97,99,88,2.28,overcast clouds
313,Clyde River,CA,70.4692,-68.5914,8.83,72,0,25.32,haze
314,Hazorasp,UZ,41.3194,61.0742,31.84,63,100,8.39,overcast clouds
315,Manbij,SY,36.5281,37.9549,51.98,83,16,5.7,few clouds
316,Quatre Cocos,MU,-20.2078,57.7625,76.08,72,76,12.15,broken clouds
317,Sitka,US,57.0531,-135.33,42.69,87,75,0.0,mist
318,Aklavik,CA,68.2191,-135.0107,-9.76,91,9,8.99,clear sky
319,Pitiquito,MX,30.7,-112.0833,60.12,24,18,6.49,few clouds
320,Yurino,RU,56.2942,46.3039,17.1,94,100,6.04,overcast clouds
321,Waycross,US,31.2136,-82.354,71.65,69,40,10.36,scattered clouds
322,Along,IN,28.1667,94.7667,52.27,89,7,1.36,clear sky
323,Buraydah,SA,26.326,43.975,63.05,45,2,10.45,clear sky
324,High Prairie,CA,55.4334,-116.4858,19.65,89,66,2.17,broken clouds
325,Bahia Blanca,AR,-38.7196,-62.2724,87.3,13,70,14.2,broken clouds
326,Tateyama,JP,34.9833,139.8667,48.24,59,11,7.45,few clouds
327,Arman,RU,59.7,150.1667,-1.98,74,67,24.67,broken clouds
328,North Platte,US,41.1239,-100.7654,26.11,68,75,24.16,broken clouds
329,Senno,RU,59.5336,33.9167,18.27,95,100,5.99,light snow
330,Nizhneudinsk,RU,54.9076,99.0276,3.96,91,100,1.79,overcast clouds
331,Souillac,MU,-20.5167,57.5167,75.58,83,20,10.36,few clouds
332,Lamar,US,33.6668,-95.5836,54.64,40,0,13.8,clear sky
